ts_ms;time;gpsDate;lat;lon;alt;spd_kmh;pm1;pm25;pm10;pmsTempC;pmsHum;rtcTempC;batV;csq;sats;hdop;xtra_ok;sht31TempC;sht31Hum;resetReason
105004;8:56:47;13-10-2025;NaN;NaN;;0.0;3;5;5;28.6;25.5;34.50;0.00;19;;;1;0;0;TaskWatchdog
107772;8:56:49;13-10-2025;NaN;NaN;;0.0;1;4;4;28.6;25.1;34.50;3.91;19;;;1;0;0;TaskWatchdog
110745;8:56:52;13-10-2025;NaN;NaN;;0.0;1;4;5;28.6;25.3;34.50;3.95;19;;;1;0;0;TaskWatchdog
113958;8:56:56;13-10-2025;NaN;NaN;;0.0;2;5;5;28.6;25.2;34.50;3.98;19;;;1;0;0;TaskWatchdog
117202;8:56:59;13-10-2025;NaN;NaN;;0.0;2;5;5;28.6;25.5;34.50;3.95;19;;;1;0;0;TaskWatchdog
119835;8:57:02;13-10-2025;NaN;NaN;;0.0;2;5;5;28.6;25.3;34.75;4.07;19;;;1;0;0;TaskWatchdog
122760;8:57:04;13-10-2025;NaN;NaN;;0.0;1;4;4;28.6;25.2;34.50;4.07;19;;;1;0;0;TaskWatchdog
127035;8:57:09;13-10-2025;NaN;NaN;;0.0;1;4;4;28.6;25.0;34.50;4.05;19;;;1;0;0;TaskWatchdog
128845;8:57:11;13-10-2025;NaN;NaN;;0.0;1;4;4;28.6;25.1;34.50;4.04;19;;;1;0;0;TaskWatchdog
131835;8:57:14;13-10-2025;NaN;NaN;;0.0;1;3;3;28.6;25.1;34.50;4.05;19;;;1;0;0;TaskWatchdog
135123;8:57:17;13-10-2025;NaN;NaN;;0.0;2;4;4;28.6;24.9;34.50;4.05;19;;;1;0;0;TaskWatchdog
138275;8:57:20;13-10-2025;-33.397.060;-70.513.145;875.8;20.1;1;2;2;28.6;25.0;34.50;4.07;19;7;0.9;1;0;0;TaskWatchdog
140980;8:57:23;13-10-2025;-33.396.938;-70.513.138;873.7;19.2;1;2;2;28.6;25.1;34.50;4.06;19;7;0.9;1;0;0;TaskWatchdog
143999;8:57:26;13-10-2025;-33.396.744;-70.513.115;872.9;32.8;1;2;2;28.5;25.0;34.50;4.04;19;7;0.9;1;0;0;TaskWatchdog
147184;8:57:29;13-10-2025;-33.396.469;-70.513.069;877.1;39.6;1;2;2;28.6;25.1;34.75;4.06;19;8;0.9;1;0;0;TaskWatchdog
150020;8:57:32;13-10-2025;-33.396.194;-70.513.023;876.1;31.5;2;3;3;28.6;25.1;34.50;4.06;19;8;0.9;1;0;0;TaskWatchdog
152980;8:57:35;13-10-2025;-33.396.011;-70.512.993;878.1;17.4;2;3;3;28.6;25.0;34.75;4.05;19;8;0.9;1;0;0;TaskWatchdog
156015;8:57:38;13-10-2025;-33.395.859;-70.512.955;877.5;25.1;1;2;3;28.6;25.1;34.50;4.00;19;8;0.9;1;0;0;TaskWatchdog
159041;8:57:41;13-10-2025;-33.395.630;-70.512.840;879.5;37.0;2;3;3;28.6;25.2;34.50;3.98;19;8;0.8;1;0;0;TaskWatchdog
162168;8:57:44;13-10-2025;-33.395.412;-70.512.680;879.1;33.2;2;3;3;28.5;25.2;34.50;4.03;19;7;0.9;1;0;0;TaskWatchdog
165100;8:57:47;13-10-2025;-33.395.245;-70.512.543;879.4;20.8;1;2;2;28.6;25.2;34.50;4.00;19;7;0.9;1;0;0;TaskWatchdog
168695;8:57:50;13-10-2025;-33.395.164;-70.512.474;878.2;6.3;2;3;3;28.6;25.4;34.50;3.93;19;6;1.0;1;0;0;TaskWatchdog
171174;8:57:53;13-10-2025;-33.395.123;-70.512.428;878.8;14.1;2;4;4;28.6;25.4;34.50;3.98;19;7;0.9;1;0;0;TaskWatchdog
